,Symbol,Name,Last Price,Change,% Change,Volume,Intraday High/Low,52 Week Range,Day Chart
0,^GSPC,S&P 500,5094.6,15.95,+0.31%,,,,
1,^DJI,Dow 30,38587.23,2.04,+0.01%,,,,
2,^IXIC,Nasdaq,15995.96,56.37,+0.35%,,,,
3,^NYA,,,,,,,,
4,^XAX,,,,,,,,
5,^BUK100P,,,,,,,,
6,^RUT,Russell 2000,2070.53,16.83,+0.82%,,,,
7,^VIX,,,,,,,,
8,^FTSE,FTSE 100,7679.31,33.15,+0.43%,,,,
9,^GDAXI,,,,,,,,
10,^FCHI,,,,,,,,
11,^STOXX50E,,,,,,,,
12,^N100,,,,,,,,
13,^BFX,,,,,,,,
14,IMOEX.ME,,,,,,,,
15,^N225,Nikkei 225,40090.78,-6.85,-0.02%,,,,
16,^HSI,,,,,,,,
17,000001.SS,,,,,,,,
18,399001.SZ,,,,,,,,
19,^STI,,,,,,,,
20,^AXJO,,,,,,,,
21,^AORD,,,,,,,,
22,^BSESN,,,,,,,,
23,^JKSE,,,,,,,,
24,^KLSE,,,,,,,,
25,^NZ50,,,,,,,,
26,^KS11,,,,,,,,
27,^TWII,,,,,,,,
28,^GSPTSE,,,,,,,,
29,^BVSP,,,,,,,,
30,^MXX,,,,,,,,
31,^IPSA,,,,,,,,
32,^MERV,,,,,,,,
33,^TA125.TA,,,,,,,,
34,^CASE30,,,,,,,,
35,^JN0U.JO,,,,,,,,
